image_id,compactness
ISIC_0000000,0.6853239919793972
ISIC_0000001,0.5876574449883565
ISIC_0000002,0.5089802206639212
ISIC_0000003,0.6845626027981938
ISIC_0000004,0.8345395900418914
ISIC_0000006,0.539922613251783
ISIC_0000007,0.7001318626047603
ISIC_0000008,0.610100055877033
ISIC_0000009,0.5740783251727032
ISIC_0000010,0.65214756129516
ISIC_0000011,0.6141204984724268
ISIC_0000012,0.6893880080259689
ISIC_0000013,0.6577877625459974
ISIC_0000014,0.5427374294775761
ISIC_0000015,0.4920831196929857
ISIC_0000016,0.7345183006748783
ISIC_0000017,0.5521994640517219
ISIC_0000018,0.4785692891470832
ISIC_0000019,0.7236032482418832
ISIC_0000020,0.45241682796063554
ISIC_0000021,0.3514756871898166
ISIC_0000022,0.7715827083022508
ISIC_0000023,0.6116052302581473
ISIC_0000024,0.8411199640366309
ISIC_0000025,0.32288158194673033
ISIC_0000026,0.7640782758394006
ISIC_0000027,0.4943295588188699
ISIC_0000028,0.5215021095236049
ISIC_0000029,0.5607314043890539
ISIC_0000030,0.7941119389784131
ISIC_0000031,0.723091258882484
ISIC_0000032,0.7649230304112297
ISIC_0000034,0.5024596597205809
ISIC_0000035,0.5482333493764866
ISIC_0000036,0.7352425877537724
ISIC_0000037,0.43192320867229994
ISIC_0000038,0.5145461480966503
ISIC_0000039,0.6438548246109093
ISIC_0000040,0.43000993861616926
ISIC_0000041,0.6433584545518347
ISIC_0000042,0.748481114687788
ISIC_0000043,0.746877578294148
ISIC_0000044,0.6128655449211811
ISIC_0000045,0.6335264584845997
ISIC_0000046,0.4285643811750395
ISIC_0000047,0.6044207736033921
ISIC_0000048,0.5714182019183476
ISIC_0000049,0.8620057383164667
ISIC_0000050,0.6982301101447109
ISIC_0000051,0.38622367890889625
ISIC_0000052,0.5611878282695861
ISIC_0000053,0.34237709642188213
ISIC_0000054,0.5015895682588641
ISIC_0000055,0.5227825083997159
ISIC_0000056,0.430035761282854
ISIC_0000057,0.6991869115583262
ISIC_0000059,0.7405971348600637
ISIC_0000061,0.5010071447597502
ISIC_0000062,0.4654933560597262
ISIC_0000063,0.4496403564634422
ISIC_0000064,0.5938223474258867
ISIC_0000065,0.5051487747886347
