,id,area,perimeter,symmetry,color_diff
0,ISIC_0001769,216160.0,2013.0,0.7602783631655298,16.950563878590646
1,ISIC_0001852,130493.0,1372.0,0.6039131828313902,29.48429724784702
2,ISIC_0001871,205116.0,1720.0,0.6906057312475818,12.901346174200162
3,ISIC_0003462,161705.0,1344.0,0.6645279560284433,25.24461330285855
4,ISIC_0003539,317040.0,2063.0,0.7277153165857638,29.05465372053313
5,ISIC_0003582,1074487.0,3566.0,0.6170690535177594,31.443984642809074
6,ISIC_0003657,340261.0,2342.0,0.680586094639996,13.836491704605146
7,ISIC_0003805,136235.0,1414.0,0.8164604047293043,19.11071882041981
8,ISIC_0004337,208243.0,1514.0,0.8119178319244833,16.18850579215437
9,ISIC_0006651,426141.0,2116.0,0.9180263534813962,25.95434469170338
10,ISIC_0006671,173787.0,1359.0,0.8477397402434018,10.060431547261901
11,ISIC_0006815,147851.0,1739.0,0.6374190666164894,11.654023484955632
12,ISIC_0006914,696672.0,2905.0,0.5790054867994199,16.393666542027773
13,ISIC_0007141,1003497.0,3312.0,0.7775777311606906,25.37939978818497
14,ISIC_0007156,384761.0,2019.0,0.8978098499527516,33.83707293470419
15,ISIC_0007235,728319.0,2788.0,0.9296713438859887,21.345505368927338
16,ISIC_0007241,346920.0,1970.0,0.8288205586947341,26.637406428035337
17,ISIC_0007332,530766.0,2387.0,0.7736228560233135,28.64244736886702
18,ISIC_0007344,522771.0,2625.0,0.7058311558387499,23.25981314069732
19,ISIC_0007528,165858.0,1297.0,0.8170433460323698,17.349576568832102
20,ISIC_0007796,280691.0,1763.0,0.7600642860217497,23.896785979978798
21,ISIC_0008025,629078.0,2636.0,0.7454843069247556,15.761297482425036
22,ISIC_0008524,323767.0,2245.0,0.34013956182414057,11.20873879888129
23,ISIC_0009995,725199.0,3024.0,0.6930346032253891,20.940162591340503
24,ISIC_0010459,534984.0,2438.0,0.9271371030938866,19.473830929060725
25,ISIC_0012099,88455.0,1353.0,0.8970180872535157,42.17936038924655
26,ISIC_0012109,129415.0,1662.0,0.7526582024891522,30.46265329752809
27,ISIC_0012126,75301.0,1262.0,0.5771919741880456,30.567843269411288
28,ISIC_0012127,106564.0,1103.0,0.7799367163656783,22.916055051525365
29,ISIC_0012143,1124326.0,5267.0,0.8255534031569594,15.402394168910833
30,ISIC_0012151,1558295.0,5920.0,0.7827502846303749,18.8737483284374
31,ISIC_0012159,328058.0,2862.0,0.5272699222438677,7.146102848133869
32,ISIC_0012160,109831.0,1708.0,0.6611014899549659,8.154035575676257
33,ISIC_0012191,221207.0,1599.0,0.7764659074402575,26.14560684062566
34,ISIC_0012201,361298.0,2860.0,0.8613440607685565,24.576714321465317
35,ISIC_0012204,171424.0,1427.0,0.7890295400715684,12.303673735930943
36,ISIC_0012206,630098.0,3828.0,0.7224703948732556,23.731618866030203
37,ISIC_0012210,791881.0,4846.0,0.7146032099642694,6.5869872835136825
38,ISIC_0012221,195511.0,1929.0,0.8975318024810377,22.097617556137067
39,ISIC_0012222,194086.0,1947.0,0.7813854776809169,26.82378396258001
40,ISIC_0012254,3797888.0,8369.0,0.8246238529202601,10.129430174980955
41,ISIC_0012256,1071587.0,3560.0,0.6798405407594885,4.181144212112873
42,ISIC_0012288,361677.0,2885.0,0.7894455934905535,18.443973397639827
43,ISIC_0012306,157552.0,1815.0,0.699976925139092,21.935042089105167
44,ISIC_0012313,165307.0,1818.0,0.755065053229947,22.88269723726025
45,ISIC_0012316,109056.0,1522.0,0.8113216470726295,25.32044528439717
46,ISIC_0012335,169693.0,1922.0,0.8230555690121115,20.426434438655782
47,ISIC_0012380,550653.0,2388.0,0.7932895869597891,17.290731790316002
48,ISIC_0012383,1194775.0,4988.0,0.7812243805739779,9.153497997367877
49,ISIC_0012400,1669033.0,4627.0,0.4848839288988258,20.990688146542656
50,ISIC_0012417,5936063.0,12146.0,0.7703896149726253,12.145458318062083
51,ISIC_0012434,225711.0,2110.0,0.853825291851094,20.627780363233843
52,ISIC_0012492,466837.0,2269.0,0.8508653587605763,8.897840060220739
53,ISIC_0012513,1756168.0,6504.0,0.7521748633467636,12.084197169665579
54,ISIC_0012538,273727.0,2556.0,0.7970581523987676,22.31395107130831
55,ISIC_0012547,572681.0,3467.0,0.8463153107748281,17.493956683226248
56,ISIC_0012660,211341.0,2271.0,0.6680489346340563,25.034882178297977
57,ISIC_0012684,859388.0,4322.0,0.7956278967967116,26.5711264569722
58,ISIC_0012720,980396.0,4861.0,0.7650404802263824,15.89360581970159
59,ISIC_0012746,125176.0,1717.0,0.624944620860499,24.422055014957692
60,ISIC_0012876,111545.0,1123.0,0.8471823233918996,12.93801581166241
