image_id,color_deviation
ISIC_0000000,40.69537755790452
ISIC_0000001,28.082533688948175
ISIC_0000002,36.02526690632421
ISIC_0000003,36.8888461573195
ISIC_0000004,41.52533385752837
ISIC_0000006,33.79741443271664
ISIC_0000007,31.3880949059846
ISIC_0000008,37.227906513280146
ISIC_0000009,30.605252239965555
ISIC_0000010,33.21850856615844
ISIC_0000011,31.0748575547121
ISIC_0000012,27.168883794535436
ISIC_0000013,40.17151524492647
ISIC_0000014,27.18829088175593
ISIC_0000015,39.145974591297964
ISIC_0000016,37.35419385153063
ISIC_0000017,32.05593658176589
ISIC_0000018,28.0682098840951
ISIC_0000019,37.83391557477997
ISIC_0000020,37.11838124858526
ISIC_0000021,27.897134611922166
ISIC_0000022,34.5395382261865
ISIC_0000023,25.810249725978853
ISIC_0000024,21.786445988205887
ISIC_0000025,28.432045737148595
ISIC_0000026,25.113672053182764
ISIC_0000027,29.166749036108254
ISIC_0000028,37.622834026300865
ISIC_0000029,33.28529783821367
ISIC_0000030,52.45564636208993
ISIC_0000031,45.123325209593276
ISIC_0000032,25.443105192225648
ISIC_0000034,28.937900174586588
ISIC_0000035,28.635180187589782
ISIC_0000036,48.36594400370481
ISIC_0000037,53.697148695540875
ISIC_0000038,51.71512240904635
ISIC_0000039,36.80035290446179
ISIC_0000040,30.862400661672762
ISIC_0000041,29.923945866361862
ISIC_0000042,45.83160035727877
ISIC_0000043,41.886346782701445
ISIC_0000044,38.51506374519713
ISIC_0000045,44.73006073630123
ISIC_0000046,28.958780038031705
ISIC_0000047,47.964247708894334
ISIC_0000048,39.35858639794983
ISIC_0000049,44.27747630007425
ISIC_0000050,27.80645960793294
ISIC_0000051,34.57717525799017
ISIC_0000052,39.539168044656485
ISIC_0000053,40.80564148141443
ISIC_0000054,30.15787691010803
ISIC_0000055,28.41192462316305
ISIC_0000056,29.41340163006994
ISIC_0000057,27.78861445532093
ISIC_0000059,46.26932856749884
ISIC_0000061,33.384297926564166
ISIC_0000062,31.571048537536257
ISIC_0000063,51.495015546736035
ISIC_0000064,31.171056315754708
ISIC_0000065,25.81594346775898
ISIC_0000066,54.647398854427486
ISIC_0000067,34.75487260929776
ISIC_0000068,35.75326147908589
ISIC_0000069,27.439513673108753
ISIC_0000071,24.866613959509014
ISIC_0000072,38.80839568493983
ISIC_0000073,37.38432460252762
ISIC_0000074,47.95312958088056
ISIC_0000075,27.064745523234766
ISIC_0000077,29.127902207656547
ISIC_0000078,30.81285931054549
ISIC_0000079,33.7045344389075
ISIC_0000080,35.601293327191534
ISIC_0000081,31.237022497438943
ISIC_0000082,38.1199805988855
ISIC_0000085,35.20905262361452
ISIC_0000086,29.03557921714115
ISIC_0000087,34.546954927848766
ISIC_0000088,41.88460720407499
ISIC_0000089,40.283633963209944
ISIC_0000091,23.173372612069713
ISIC_0000092,22.60251964175163
ISIC_0000093,24.998013878114246
ISIC_0000094,27.557232238515862
ISIC_0000095,37.49257818723465
ISIC_0000096,32.63285572187252
ISIC_0000097,30.519312940550606
ISIC_0000098,22.577201520732235
ISIC_0000099,33.07002803684324
ISIC_0000100,48.758607364830624
ISIC_0000101,25.28207741276361
ISIC_0000102,27.02215969744152
ISIC_0000103,44.53154994830984
ISIC_0000104,25.01957286301491
ISIC_0000105,34.131860219580425
ISIC_0000107,37.72334039906254
ISIC_0000108,35.94205963892995
ISIC_0000109,33.258024499821936
ISIC_0000110,27.389880997745205
ISIC_0000111,53.685350848372025
ISIC_0000112,29.064458063292808
ISIC_0000113,21.91281813862891
ISIC_0000116,31.945812124902663
ISIC_0000118,32.633418933282044
ISIC_0000119,36.767898790253376
ISIC_0000120,32.04596939867289
ISIC_0000121,18.0812960692046
ISIC_0000122,26.966678331428245
ISIC_0000123,31.562410377908623
ISIC_0000124,33.141218051674954
ISIC_0000125,26.28799647001316
ISIC_0000126,39.35680641286337
ISIC_0000127,29.48090640249393
ISIC_0000128,29.796865882945635
ISIC_0000129,31.685667200895235
ISIC_0000130,42.618309541469635
ISIC_0000131,30.790283321003344
ISIC_0000132,29.97686528222231
ISIC_0000133,30.79712826106199
ISIC_0000134,36.98357352159014
ISIC_0000135,43.65805234416744
ISIC_0000136,65.30824872922523
ISIC_0000137,28.461854969996633
ISIC_0000138,32.622029952426914
ISIC_0000139,33.01735433834626
ISIC_0000140,52.13638574867545
ISIC_0000141,36.903274889175236
ISIC_0000142,46.10952640985092
ISIC_0000143,41.67574171309037
ISIC_0000145,23.326324410094216
ISIC_0000146,41.38505213636643
ISIC_0000147,41.288350415302936
ISIC_0000148,37.467084030048476
ISIC_0000149,34.967495627931285
ISIC_0000150,38.71595489952217
ISIC_0000151,37.13353748943505
ISIC_0000152,31.758284257670965
ISIC_0000153,24.44802603790738
ISIC_0000154,27.754170902595394
ISIC_0000155,51.86412129993733
ISIC_0000156,39.64091259978069
ISIC_0000157,41.993765398430014
ISIC_0000159,61.235882775931735
ISIC_0000160,37.602986935325625
ISIC_0000161,58.51851833770771
ISIC_0000162,41.72130821903139
ISIC_0000163,59.36364854535785
ISIC_0000164,41.63730451985921
ISIC_0000165,49.7404430024226
ISIC_0000166,59.28468739462685
ISIC_0000167,56.49720695612965
ISIC_0000169,34.490505224842835
ISIC_0000171,48.35530266540383
ISIC_0000172,39.75036576452286
ISIC_0000174,44.8270387054207
ISIC_0000176,37.30937763953806
ISIC_0000177,36.570531805504054
ISIC_0000179,39.50570703159717
ISIC_0000181,40.700328760184675
ISIC_0000182,32.77048403350745
ISIC_0000184,40.463667680509595
ISIC_0000185,25.977027055175387
ISIC_0000186,37.684597865164
ISIC_0000188,27.00812019035642
ISIC_0000189,34.47450197358733
ISIC_0000190,48.88867317999154
ISIC_0000191,37.51476705436839
ISIC_0000192,45.050658745013294
ISIC_0000193,42.35568301874521
ISIC_0000196,53.79631091643703
ISIC_0000197,49.47844268984798
ISIC_0000198,18.994688371210753
ISIC_0000199,36.30412613873292
ISIC_0000201,45.71254048401939
ISIC_0000202,40.4820916682879
ISIC_0000203,39.294387271085775
ISIC_0000204,48.87191236611355
ISIC_0000205,46.402130295030815
ISIC_0000206,54.79636683008141
ISIC_0000207,34.06029629219574
ISIC_0000208,35.44808749726575
ISIC_0000209,40.696394916017795
ISIC_0000211,54.58571340606712
ISIC_0000212,50.90193277466728
ISIC_0000213,46.0825124690978
ISIC_0000214,53.42866670954188
ISIC_0000215,50.677721957323605
ISIC_0000216,38.236266362358876
ISIC_0000217,41.99341896699638
ISIC_0000218,53.56719950417851
ISIC_0000219,47.07248044817851
ISIC_0000220,58.64846152398311
ISIC_0000221,52.82297934542101
ISIC_0000222,37.71146826823249
ISIC_0000223,38.20157848205784
ISIC_0000224,43.98256111804731
ISIC_0000225,48.3061480800143
ISIC_0000226,51.45614697422807
ISIC_0000227,44.399297782341364
ISIC_0000229,46.182229600060644
ISIC_0000231,32.143616654357224
ISIC_0000232,38.656003786888895
ISIC_0000233,32.7497137868363
ISIC_0000234,43.09391621152016
ISIC_0000235,42.7928921398063
ISIC_0000236,41.64177537430356
ISIC_0000237,42.15635634930518
ISIC_0000239,58.886729050188215
ISIC_0000240,37.01027997773393
ISIC_0000242,36.42277420679472
ISIC_0000243,32.293658023014295
ISIC_0000244,30.871383211432867
ISIC_0000245,25.925492873429903
ISIC_0000246,29.61417328946794
ISIC_0000247,26.360987152333905
ISIC_0000250,33.59746917078184
ISIC_0000251,45.318888421903466
ISIC_0000252,33.74349613381877
ISIC_0000253,30.875365418703325
ISIC_0000254,38.17208503118391
ISIC_0000255,29.278607074880608
ISIC_0000256,31.237902716065232
ISIC_0000258,36.58615887664292
ISIC_0000259,20.838406762656337
ISIC_0000260,28.106120618326866
ISIC_0000261,26.92039256750782
ISIC_0000262,33.18374048980726
ISIC_0000263,63.22912694742743
ISIC_0000264,41.146951064604785
ISIC_0000265,29.66965936347546
ISIC_0000268,24.144364942095
ISIC_0000269,29.81068146770481
ISIC_0000274,49.615220029088924
ISIC_0000275,39.66334261477729
ISIC_0000276,49.03468469547632
