image_id,symmetry
ISIC_0003174,0.9072184317538787
ISIC_0003308,0.914942942162994
ISIC_0003346,0.8747323464754778
ISIC_0003728,0.8774482810630362
ISIC_0004110,0.8688362048737145
ISIC_0004115,0.8262030181860613
ISIC_0004166,0.8931776618586484
ISIC_0004168,0.9285973138700213
ISIC_0004309,0.9141467060506334
ISIC_0004346,0.9126988323298869
ISIC_0004715,0.9293063285789744
ISIC_0004985,0.8709260427721381
ISIC_0005000,0.9101143372196127
ISIC_0005187,0.8241538591310165
ISIC_0005548,0.8219179163009492
ISIC_0005555,0.8425322085076106
ISIC_0005620,0.8773114239741281
ISIC_0005639,0.9288240957237912
ISIC_0005666,0.9068165408431916
ISIC_0005787,0.8875516302039317
ISIC_0006021,0.8064783085458164
ISIC_0006114,0.755437401299718
ISIC_0006193,0.905344713869302
ISIC_0006326,0.9099759155747107
ISIC_0006350,0.8216763368104794
ISIC_0006612,0.9176161197537211
ISIC_0006711,0.9574861331043868
ISIC_0006776,0.908463160080488
ISIC_0006795,0.9376620824756263
ISIC_0006800,0.913865998888243
ISIC_0006940,0.9474131423847377
ISIC_0006982,0.8915540757722695
ISIC_0007038,0.8418175648007837
ISIC_0007087,0.825317977160489
ISIC_0007322,0.8623503937856826
ISIC_0007475,0.9207128454616278
ISIC_0007557,0.8776487188416913
ISIC_0007693,0.7922022682268628
ISIC_0007760,0.9652061764531614
ISIC_0008029,0.874096645879822
ISIC_0008116,0.9179440740547956
ISIC_0008145,0.8265651475506088
ISIC_0008207,0.8701049415495954
ISIC_0008236,0.8639015733943589
ISIC_0008256,0.898862653232023
ISIC_0008280,0.8873107149727629
ISIC_0008294,0.7943525551763992
ISIC_0008347,0.908758651323077
ISIC_0008396,0.920546252356182
ISIC_0008403,0.9253788320348507
ISIC_0008406,0.828077288161437
ISIC_0008507,0.7947081762944481
ISIC_0008528,0.886302547468629
ISIC_0008541,0.8412537826373232
ISIC_0008552,0.87491883246453
ISIC_0008600,0.869266818995317
ISIC_0008626,0.8281858512272902
ISIC_0008659,0.8821090832130583
ISIC_0008785,0.8979653810944352
ISIC_0008807,0.8694688460041238
ISIC_0008879,0.8958574655456221
ISIC_0008992,0.7942359409335489
ISIC_0008993,0.8287243543347125
ISIC_0008998,0.8027876257443569
ISIC_0009035,0.9428284427681913
ISIC_0009078,0.8725635618435518
ISIC_0009083,0.8587255926836304
ISIC_0009160,0.9321171126755793
ISIC_0009165,0.9070455781481697
ISIC_0009188,0.9098809630591609
ISIC_0009252,0.8372288216493086
ISIC_0009297,0.9397965841694118
ISIC_0009298,0.9138966308332386
ISIC_0009344,0.9237017095951799
